Name,Amount of episodes,Duration,Rating
Kiseijuu: Sei no Kakuritsu,TV (24 eps),Oct 2014 - Mar 2015,8.35
Made in Abyss Movie 2: Hourou Suru Tasogare,Movie (1 eps),Jan 2019 - Jan 2019,8.35
Psycho-Pass,TV (22 eps),Oct 2012 - Mar 2013,8.35
Major S6,TV (25 eps),Apr 2010 - Sep 2010,8.34
Mobile Suit Gundam: The Origin,OVA (6 eps),Feb 2015 - May 2018,8.34
Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA (1 eps),Feb 2014 - Feb 2014,8.34
Neon Genesis Evangelion,TV (26 eps),Oct 1995 - Mar 1996,8.34
One Outs,TV (25 eps),Oct 2008 - Apr 2009,8.34
Romeo no Aoi Sora,TV (33 eps),Jan 1995 - Dec 1995,8.34
Summertime Render,TV (25 eps),Apr 2022 -,8.34
Uchuu Senkan Yamato 2199,OVA (26 eps),May 2012 - Oct 2013,8.34
Bakemonogatari,TV (15 eps),Jul 2009 - Jun 2010,8.34
K-On! Movie,Movie (1 eps),Dec 2011 - Dec 2011,8.34
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV (11 eps),Apr 2011 - Jun 2011,8.33
Doupo Cangqiong: San Nian Zhi Yue,ONA (13 eps),Oct 2021 - Jan 2022,8.33
Katanagatari,TV (12 eps),Jan 2010 - Dec 2010,8.33
Kemono no Souja Erin,TV (50 eps),Jan 2009 - Dec 2009,8.33
Ookami to Koushinryou II,TV (12 eps),Jul 2009 - Sep 2009,8.33
Versailles no Bara,TV (40 eps),Oct 1979 - Sep 1980,8.33
Natsume Yuujinchou,TV (13 eps),Jul 2008 - Sep 2008,8.32
Natsume Yuujinchou Go Specials,Special (2 eps),Mar 2017 - Apr 2017,8.32
NHK ni Youkoso!,TV (24 eps),Jul 2006 - Dec 2006,8.32
Sakamichi no Apollon,TV (12 eps),Apr 2012 - Jun 2012,8.32
Tenki no Ko,Movie (1 eps),Jul 2019 - Jul 2019,8.32
Tensei shitara Slime Datta Ken 2nd Season Part 2,TV (12 eps),Jul 2021 - Sep 2021,8.32
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Special (1 eps),Jul 2018 - Jul 2018,8.32
Boku dake ga Inai Machi,TV (12 eps),Jan 2016 - Mar 2016,8.32
Evangelion: 2.0 You Can (Not) Advance,Movie (1 eps),Jul 2009 - Jul 2009,8.32
Fate/stay night: Unlimited Blade Works 2nd Season,TV (13 eps),Apr 2015 - Jun 2015,8.32
Kawaki wo Ameku,Music (1 eps),Jan 2019 - Jan 2019,8.32
Doukyuusei (Movie),Movie (1 eps),Feb 2016 - Feb 2016,8.31
Hotarubi no Mori e,Movie (1 eps),Sep 2011 - Sep 2011,8.31
Hunter x Hunter: Original Video Animation,OVA (8 eps),Jan 2002 - Apr 2002,8.31
Initial D First Stage,TV (26 eps),Apr 1998 - Dec 1998,8.31
Kuroko no Basket 3rd Season,TV (25 eps),Jan 2015 - Jun 2015,8.31
Major: World Series,OVA (2 eps),Dec 2011 - Jan 2012,8.31
Shelter (Music),Music (1 eps),Oct 2016 - Oct 2016,8.31
Shinsekai yori,TV (25 eps),Sep 2012 - Mar 2013,8.31
World Trigger 3rd Season,TV (14 eps),Oct 2021 - Jan 2022,8.31
Rurouni Kenshin: Meiji Kenkaku Romantan,TV (94 eps),Jan 1996 - Sep 1998,8.30
Shirobako,TV (24 eps),Oct 2014 - Mar 2015,8.30
Steins;Gate: Oukoubakko no Poriomania,Special (1 eps),Feb 2012 - Feb 2012,8.30
Beck,TV (26 eps),Oct 2004 - Mar 2005,8.30
Detective Conan Movie 06: The Phantom of Baker Street,Movie (1 eps),Apr 2002 - Apr 2002,8.30
Diamond no Ace: Second Season,TV (51 eps),Apr 2015 - Mar 2016,8.30
Dr. Stone,TV (24 eps),Jul 2019 - Dec 2019,8.30
Hibike! Euphonium 2,TV (13 eps),Oct 2016 - Dec 2016,8.30
Kino no Tabi: The Beautiful World,TV (13 eps),Apr 2003 - Jul 2003,8.30
Ashita no Joe,TV (79 eps),Apr 1970 - Sep 1971,8.29
Fate/Zero,TV (13 eps),Oct 2011 - Dec 2011,8.29
Gintama: Shinyaku Benizakura-hen,Special (1 eps),Dec 2010 - Dec 2010,8.29
Tsubasa: Tokyo Revelations,OVA (3 eps),Nov 2007 - Mar 2008,8.29
Nodame Cantabile,TV (23 eps),Jan 2007 - Jun 2007,8.28
Redline,Movie (1 eps),Aug 2009 - Aug 2009,8.28
Stranger: Mukou Hadan,Movie (1 eps),Sep 2007 - Sep 2007,8.28
Tokyo Godfathers,Movie (1 eps),Nov 2003 - Nov 2003,8.28
Bakemono no Ko,Movie (1 eps),Jul 2015 - Jul 2015,8.28
Gin no Saji 2nd Season,TV (11 eps),Jan 2014 - Mar 2014,8.28
Gyakkyou Burai Kaiji: Ultimate Survivor,TV (26 eps),Oct 2007 - Apr 2008,8.28
Kono Subarashii Sekai ni Shukufuku wo! 2,TV (10 eps),Jan 2017 - Mar 2017,8.28
